class,noise_type,filter,psnr,ssim
with_mask,blur,none,21.331661099405473,0.5834904785889753
with_mask,blur,mean,21.159347217818016,0.5526030770716865
with_mask,blur,median,21.24861616686118,0.5630068086542556
with_mask,blur,none,24.414012980129684,0.6973298970424634
with_mask,blur,mean,24.29632563988036,0.6862050265487653
with_mask,blur,median,24.360126384532403,0.6897605577479823
with_mask,blur,none,23.049830482523195,0.7299424428936857
with_mask,blur,mean,22.84925234494777,0.7076164092451419
with_mask,blur,median,22.95931625254353,0.7178168512514863
with_mask,blur,none,23.167352006563124,0.6082218342743982
with_mask,blur,mean,22.98348994605584,0.5802781361217346
with_mask,blur,median,23.061013403590437,0.5883904625444476
with_mask,blur,none,32.60701296041094,0.9391533010785144
with_mask,blur,mean,32.27275345975557,0.9352909873616969
with_mask,blur,median,32.523993760776335,0.9374270374514665
with_mask,blur,none,23.880121258490213,0.6389379225032475
with_mask,blur,mean,23.707607652069406,0.6113449318262308
with_mask,blur,median,23.801455992360122,0.6207173421361479
with_mask,blur,none,23.40471020360697,0.6872643440444062
with_mask,blur,mean,23.222621130045574,0.6648594692224518
with_mask,blur,median,23.30311416406609,0.6714552372446848
with_mask,blur,none,23.631429418375536,0.5635407872239956
with_mask,blur,mean,23.509495130939268,0.5500120863637222
with_mask,blur,median,23.58927906770761,0.5550835214454743
without_mask,gaussian,none,23.69678165095646,0.3966350247434718
without_mask,gaussian,mean,30.729554179464685,0.7665592444055972
without_mask,gaussian,median,29.878393246686453,0.7160190332109212
without_mask,gaussian,none,23.337707065060158,0.43465970373095036
without_mask,gaussian,mean,27.980693948926714,0.706051780436403
without_mask,gaussian,median,27.52675774115058,0.66052431822526
without_mask,gaussian,none,23.239867290508933,0.4193335474813875
without_mask,gaussian,mean,30.122523815979918,0.753925722276576
without_mask,gaussian,median,29.072961152999703,0.7018043170897718
without_mask,gaussian,none,23.4949679384447,0.39094715775767447
without_mask,gaussian,mean,30.652573166267562,0.7790276896011131
without_mask,gaussian,median,29.67853874445714,0.7175534799005074
without_mask,gaussian,none,23.45154803862708,0.4684858332609536
without_mask,gaussian,mean,30.66313266075937,0.8255559633088839
without_mask,gaussian,median,29.644102755881466,0.7745838012088743
without_mask,gaussian,none,23.446689234508085,0.5504191260593991
without_mask,gaussian,mean,25.42719668781503,0.7161039771524292
without_mask,gaussian,median,26.379232781693823,0.6939268893171349
without_mask,gaussian,none,23.972037165068375,0.4588144721323544
without_mask,gaussian,mean,25.554524602374226,0.6962107064422788
without_mask,gaussian,median,26.9252925593354,0.6644051612623548
without_mask,gaussian,none,23.33967251912729,0.33849289167692787
without_mask,gaussian,mean,30.999553047485886,0.7464456049381579
without_mask,gaussian,median,29.783061578837938,0.6843362818928616
without_mask,gaussian,none,23.397231842562046,0.6005845388061942
without_mask,gaussian,mean,27.27694349665695,0.8064649327253138
without_mask,gaussian,median,27.318725498061877,0.7817002689605159
without_mask,gaussian,none,23.606849281741724,0.4182940693636454
without_mask,gaussian,mean,30.954938055451407,0.7865319355277638
without_mask,gaussian,median,29.88683697175595,0.7352957793595726
without_mask,gaussian,none,23.697006697106442,0.36637233385590556
without_mask,gaussian,mean,30.668750338734405,0.7375109093665264
without_mask,gaussian,median,29.815338556590667,0.689771620773452
without_mask,gaussian,none,23.375534496284747,0.4744565172225835
without_mask,gaussian,mean,30.4103364924076,0.8141500889744675
without_mask,gaussian,median,29.368130452788314,0.7649619191733876
without_mask,gaussian,none,23.623121261615957,0.4321729235947525
without_mask,gaussian,mean,29.404117690249567,0.7614589129586622
without_mask,gaussian,median,28.90620996215194,0.7045848211820651
without_mask,gaussian,none,23.397799021673244,0.30504556959608736
