class,K,psnr,ssim
incorrect_mask,0.1,18.168833154977268,0.5788181311682199
incorrect_mask,1.0,8.196404530120677,0.4129127044931016
incorrect_mask,0.001,24.235027709379363,0.7499552587592557
incorrect_mask,0.01,24.487106315045125,0.7604448884594419
incorrect_mask,0.1,20.59708008434385,0.7526532232229832
incorrect_mask,1.0,8.460143595165386,0.5540528988977533
incorrect_mask,0.001,16.109890188175797,0.3689309428680741
incorrect_mask,0.01,19.192416567917018,0.5304620365492377
incorrect_mask,0.1,19.97817783968696,0.5719732339830198
incorrect_mask,1.0,11.854962433197079,0.41238754465424793
incorrect_mask,0.001,17.79883252253581,0.3562388395967612
incorrect_mask,0.01,19.80626970717368,0.4639897614144561
incorrect_mask,0.1,19.472051883701432,0.48067052007137645
incorrect_mask,1.0,9.917622933099992,0.3345876116365787
incorrect_mask,0.001,14.240157758974423,0.29663501820794796
incorrect_mask,0.01,17.84209987254219,0.49646207816872634
incorrect_mask,0.1,19.180496054932203,0.6586568259648602
incorrect_mask,1.0,9.451780852926701,0.5278672949622955
incorrect_mask,0.001,18.198802973089606,0.47923894888234186
incorrect_mask,0.01,21.46868821164759,0.6296739331534442
incorrect_mask,0.1,21.686990722741207,0.7007007011735923
incorrect_mask,1.0,11.193335440481844,0.49737915850689046
incorrect_mask,0.001,14.946262296776089,0.31368370110183386
incorrect_mask,0.01,18.750143508772894,0.5019624789851573
incorrect_mask,0.1,20.711312349973365,0.6124995308270662
incorrect_mask,1.0,10.800553399493943,0.46182912359934386
incorrect_mask,0.001,16.46088578472033,0.524295866977611
incorrect_mask,0.01,20.266987463999307,0.6404362356312375
incorrect_mask,0.1,20.194600797981373,0.6966756088296687
incorrect_mask,1.0,9.083041090291239,0.5360251585555555
incorrect_mask,0.001,19.761391348671363,0.5188121417508126
incorrect_mask,0.01,21.438037396709547,0.590010693760637
incorrect_mask,0.1,20.76332816163839,0.5678680357564888
incorrect_mask,1.0,12.330927466056878,0.366673776919366
incorrect_mask,0.001,19.414032704492485,0.4431103696871608
