class,method,compression_ratio,psnr,ssim
incorrect_mask,wavelet_t90,9.990243902439024,31.437524877917102,0.8765569611595443
incorrect_mask,jpeg_q30,5.016530394596516,30.508742551092244,0.8752371547035437
incorrect_mask,jpeg_q70,2.717931432973806,33.60047425104253,0.9290194730908593
incorrect_mask,jpeg_q90,1.325894954430142,37.62223642029809,0.9670486674365288
incorrect_mask,wavelet_t70,3.3300248979522706,40.36405714472818,0.9737124464316252
incorrect_mask,wavelet_t90,9.991259274316496,31.53978682615938,0.8650706259206125
incorrect_mask,jpeg_q30,4.833165626886697,31.228492548387294,0.8902740982311107
incorrect_mask,jpeg_q70,2.652822268861151,34.31765410563517,0.9389960256205825
incorrect_mask,jpeg_q90,1.3155847712955355,38.74882536870556,0.9717834112020474
incorrect_mask,wavelet_t70,3.3085065208245688,43.94623089352079,0.9840525866475542
incorrect_mask,wavelet_t90,9.998881147332554,33.104534684352146,0.9035992710172861
incorrect_mask,jpeg_q30,5.020279528637983,28.0690919740075,0.8530205970243493
incorrect_mask,jpeg_q70,2.6050910125142206,31.32865373392331,0.92142593645398
incorrect_mask,jpeg_q90,1.3243448400506055,35.8121056191559,0.9661452953965818
incorrect_mask,wavelet_t70,3.331096879129816,35.92726538355537,0.9528610459032888
incorrect_mask,wavelet_t90,9.994306628710858,27.72782316726986,0.7982407429079182
incorrect_mask,jpeg_q30,5.568997071742313,30.786940146817322,0.8472307869337105
incorrect_mask,jpeg_q70,2.8553063713990805,33.53995422914733,0.9095094004505716
incorrect_mask,jpeg_q90,1.3131796996374936,37.28127581692144,0.9584403533756194
incorrect_mask,wavelet_t70,3.3187265791161678,39.04296502162253,0.9573253610185808
incorrect_mask,wavelet_t90,9.99379860722818,31.663868471469154,0.8343548866903435
incorrect_mask,jpeg_q30,5.152858610065047,29.88902588600455,0.8573321945540601
incorrect_mask,jpeg_q70,2.773192077383694,32.968444430393085,0.9174740877050689
incorrect_mask,jpeg_q90,1.3506977161574012,36.914535424985786,0.9619280233752999
incorrect_mask,wavelet_t70,3.3286154471269427,40.71486029951133,0.9725036485733846
incorrect_mask,wavelet_t90,9.973014101653646,31.58900135813008,0.8683268033586852
incorrect_mask,jpeg_q30,5.137898861727934,31.26567045840072,0.8900418844115435
incorrect_mask,jpeg_q70,2.8461856522638,34.253812307089945,0.9352809180407965
incorrect_mask,jpeg_q90,1.3219704244286536,38.149839908760306,0.9691670541567362
incorrect_mask,wavelet_t70,3.311236863379143,41.05647853617036,0.9738725159829792
incorrect_mask,wavelet_t90,9.99938968568813,31.97022624900525,0.8847532372784871
incorrect_mask,jpeg_q30,5.160106856634016,30.619979202058364,0.8723223614091425
incorrect_mask,jpeg_q70,2.7763510923725567,33.48276803249172,0.9250058049165588
incorrect_mask,jpeg_q90,1.3186783178590933,37.53158838595518,0.9653748314265354
incorrect_mask,wavelet_t70,3.3259689070086105,40.41152993863488,0.9703074208680144
